Region,Forecast (Bcf),Prev-wk Fcst,Prev-wk Actual,4-wk MedAE,12-wk MedAE,Forecast Date
East Region,16.95,12.88,14,1.01,1.76,2025-07-11
Midwest Region,20.66,20.46,22,1.23,1.94,2025-07-11
South Central Region,13.48,13.09,10,3.22,3.22,2025-07-11
Mountain Region,3.80,5.57,3,0.54,0.44,2025-07-11
Pacific Region,5.06,6.38,4,0.40,0.49,2025-07-11
Lower 48 States,59.95,55.74,53,2.27,8.38,2025-07-11
