Region,Forecast (Bcf),Prev-wk Fcst,Prev-wk Actual,4-wk MedAE,12-wk MedAE,Forecast Date
East Region,10.46,14.07,6,2.56,1.35,2025-07-25
Midwest Region,23.08,20.11,16,2.31,2.09,2025-07-25
South Central Region,1.41,7.05,-5,4.52,3.37,2025-07-25
Mountain Region,4.39,3.69,4,0.45,0.35,2025-07-25
Pacific Region,5.28,4.23,2,0.58,0.52,2025-07-25
Lower 48 States,44.62,51.55,23,8.43,5.53,2025-07-25
