Component,Entry Date,Exit Date,Signal,Entry Price,Exit Price,Holding Days Actual,Return,ΔStorage,ΔTemp/HDD/CDD,Price Momentum,Basis Deviation,ΔLNG Feed Gas,Nuclear Drop,Managed Money,Upcoming Outage Risk,Forecasted Balance,SMA Crossover,Volatility Breakout,Confidence
AGT-CG (non-G),2024-04-24,2024-05-01,STRONG BUY,1.58,1.575,7,-0.0031645569620253893,0,3,1,1,0,3,0,1,0,-1,1,0.5454545454545454
AGT-CG (non-G),2024-04-30,2024-05-07,STRONG BUY,1.5425,1.66,7,0.07617504051863853,0,3,1,1,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2024-05-01,2024-05-08,STRONG BUY,1.575,1.73,7,0.09841269841269844,0,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-05-08,2024-05-15,STRONG BUY,1.73,1.5175,7,-0.12283236994219648,0,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-05-09,2024-05-15,STRONG BUY,1.7225,1.5175,6,-0.11901306240928874,0,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-05-10,2024-05-17,STRONG BUY,1.655,1.71,7,0.0332326283987915,0,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-05-17,2024-05-24,STRONG BUY,1.71,1.875,7,0.09649122807017546,0,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-05-21,2024-05-28,STRONG BUY,2.005,1.5175,7,-0.24314214463840392,0,1,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2024-06-13,2024-06-20,STRONG BUY,1.765,3.81,7,1.158640226628895,0,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2024-06-14,2024-06-21,STRONG BUY,1.815,2.4,7,0.32231404958677684,0,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-06-18,2024-06-25,STRONG BUY,3.76,2.285,7,-0.3922872340425531,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2024-07-16,2024-07-23,STRONG BUY,3.055,1.7375,7,-0.43126022913256956,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2024-07-17,2024-07-24,STRONG BUY,3.995,1.7475,7,-0.5625782227784731,0,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2024-09-04,2024-09-11,STRONG BUY,1.915,1.875,7,-0.020887728459530044,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2024-09-05,2024-09-12,STRONG BUY,1.88,1.99,7,0.0585106382978724,0,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-09-06,2024-09-13,STRONG BUY,1.82,2.105,7,0.15659340659340654,0,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-09-10,2024-09-17,STRONG BUY,1.95,2.055,7,0.05384615384615395,0,1,1,2,0,0,0,1,0,1,1,0.5454545454545454
AGT-CG (non-G),2024-09-11,2024-09-18,STRONG BUY,1.875,2.135,7,0.13866666666666655,0,1,1,1,0,3,0,1,0,1,-1,0.5454545454545454
AGT-CG (non-G),2024-09-12,2024-09-19,STRONG BUY,1.99,1.995,7,0.00251256281407041,0,1,1,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2024-09-18,2024-09-25,STRONG BUY,2.135,1.92,7,-0.10070257611241212,0,3,1,1,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2024-10-09,2024-10-16,STRONG BUY,2.065,2.34,7,0.13317191283292976,0,1,2,2,0,3,0,1,0,1,1,0.6363636363636364
AGT-CG (non-G),2024-10-10,2024-10-17,STRONG BUY,2.1,2.075,7,-0.011904761904761862,0,1,2,2,0,3,0,1,0,1,0,0.5454545454545454
AGT-CG (non-G),2024-10-16,2024-10-23,STRONG BUY,2.34,1.71,7,-0.2692307692307692,0,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
