Model,MAE,Actual,Next,Prior
LinearRegression,9.782753960934677,47.0,31.634566290530167,7.5749349428739166
RandomForest,9.2725,47.0,28.06,16.12
LGBM,12.309572818984977,47.0,24.470850097804004,8.821786331411705
NeuralNet,29.457707837224007,47.0,-8.257267951965332,-4.21820592880249
