Model,MAE,Actual,Next,Prior
LinearRegression,9.56166791089008,88.0,72.84956456884484,6.4971475766573406
RandomForest,6.177500000000002,88.0,75.85,8.82
LGBM,9.539278421616824,88.0,73.1263103853203,3.509532970139746
NeuralNet,36.84196126461029,88.0,38.69508743286133,-3.54026460647583
