Model,MAE,Actual,Next,Prior
LinearRegression,0.9827854619549878,5.0,3.902803895101382,1.6869683238123194
RandomForest,0.77,5.0,2.88,0.89
LGBM,0.8295983338821429,5.0,2.8782315154149813,1.1489006246023172
NeuralNet,73.02603244781494,5.0,68.32864379882812,60.96707534790039
