Model,MAE,Actual,Next,Prior
LinearRegression,1.3067881854283323,8.0,7.559198897698023,6.259394210198023
RandomForest,2.915,8.0,6.92,5.32
LGBM,2.4491555406950383,8.0,8.368665824635926,6.499816989685866
NeuralNet,112.86074256896973,8.0,-86.9452133178711,-86.7791976928711
