Model,MAE,Actual,Next,Prior
LinearRegression,4.33144600818612,23.0,12.744141903915846,-0.2362696256251695
RandomForest,4.715,23.0,15.07,-1.49
LGBM,4.741501004031506,23.0,11.46097136469452,-2.1422353916822066
NeuralNet,223.2446060180664,23.0,-377.3893737792969,-88.01731872558594
