Region,Inventory (Bcf),Capacity (Bcf),Percent Full
Midwest,364,43562.5,0.8
East,284,30557.8,0.9
South Central,758,38878.3,1.9
Mountain,165,8386.2,2.0
Pacific,202,940.7,21.5
Lower 48,1773,122325.5,1.4
