Date,Item,Value
2015-01-04,BPA - PeakLoad,8128
2015-01-04,CAISO - Biogas,4320.0
2015-01-04,CAISO - Biomass,6499.0
2015-01-04,CAISO - Geothermal Steam,25633.0
2015-01-04,CAISO - Hydro,25909.0
2015-01-04,CAISO - Nuclear Power,27869.0
2015-01-04,CAISO - PeakLoad,28080
2015-01-04,CAISO - Power Imports,171955.0
2015-01-04,CAISO - Solar PV,25041.0
2015-01-04,CAISO - Solar Thermal,660.0
2015-01-04,CAISO - Thermal Power,265546.0
2015-01-04,CAISO - Total Generation,554812.0
2015-01-04,CAISO - Wind,1380.0
2015-01-04,ERCOT - PeakLoad,44767
2015-01-04,IESO - Biofuel,98.0
2015-01-04,IESO - Hydro,107104.0
2015-01-04,IESO - Natural Gas,25804.0
2015-01-04,IESO - Nuclear Power,276156.0
2015-01-04,IESO - PeakLoad,18691
2015-01-04,IESO - Total Generation,445476.0
2015-01-04,IESO - Wind,36314.0
2015-01-04,ISONE - Coal,14996
2015-01-04,ISONE - Hydro,30177
2015-01-04,ISONE - Natural Gas,85525
2015-01-04,ISONE - Nuclear Power,96979
2015-01-04,ISONE - Other,20998
2015-01-04,ISONE - PeakLoad,16978
2015-01-04,ISONE - Residual Oil,434
2015-01-04,ISONE - Solar Thermal,70
2015-01-04,ISONE - Total Generation,255571
2015-01-04,ISONE - Wind,6392
2015-01-04,MISO - PeakLoad,89162
2015-01-04,NYISO - PeakLoad,19736
2015-01-04,PJM - PeakLoad,96238
2015-01-04,SPP - Coal,420805
2015-01-04,SPP - Diesel,0
2015-01-04,SPP - Hydro,2838
2015-01-04,SPP - Natural Gas,131450
2015-01-04,SPP - Nuclear Power,61009
2015-01-04,SPP - PeakLoad,32115
2015-01-04,SPP - Total Generation,694025
2015-01-04,SPP - Wind,77923
2015-01-05,AESO - PeakLoad,11229
2015-01-05,BPA - PeakLoad,7423
2015-01-05,CAISO - Biogas,4221.0
2015-01-05,CAISO - Biomass,6904.0
2015-01-05,CAISO - Geothermal Steam,25566.0
2015-01-05,CAISO - Hydro,29417.0
2015-01-05,CAISO - Nuclear Power,45307.0
2015-01-05,CAISO - PeakLoad,29553
2015-01-05,CAISO - Power Imports,176957.0
2015-01-05,CAISO - Solar PV,27310.0
2015-01-05,CAISO - Solar Thermal,1084.0
2015-01-05,CAISO - Thermal Power,280510.0
2015-01-05,CAISO - Total Generation,599894.0
2015-01-05,CAISO - Wind,2618.0
2015-01-05,ERCOT - PeakLoad,52231
2015-01-05,IESO - Biofuel,753.0
2015-01-05,IESO - Hydro,114323.0
2015-01-05,IESO - Natural Gas,51007.0
2015-01-05,IESO - Nuclear Power,273629.0
2015-01-05,IESO - PeakLoad,20999
2015-01-05,IESO - Total Generation,488123.0
2015-01-05,IESO - Wind,48411.0
2015-01-05,ISONE - Coal,31050
2015-01-05,ISONE - Hydro,28684
2015-01-05,ISONE - Natural Gas,96881
2015-01-05,ISONE - Nuclear Power,96957
2015-01-05,ISONE - Other,20510
2015-01-05,ISONE - PeakLoad,19187
2015-01-05,ISONE - Residual Oil,149
2015-01-05,ISONE - Solar Thermal,954
2015-01-05,ISONE - Total Generation,285287
2015-01-05,ISONE - Wind,10102
2015-01-05,MISO - PeakLoad,98023
2015-01-05,NYISO - PeakLoad,23003
2015-01-05,PJM - PeakLoad,120447
2015-01-05,SPP - Coal,427895
2015-01-05,SPP - Diesel,0
2015-01-05,SPP - Hydro,2587
2015-01-05,SPP - Natural Gas,128146
2015-01-05,SPP - Nuclear Power,61049
2015-01-05,SPP - PeakLoad,34209
2015-01-05,SPP - Total Generation,737846
2015-01-05,SPP - Wind,118169
2015-01-06,AESO - PeakLoad,11130
2015-01-06,BPA - PeakLoad,7430
2015-01-06,CAISO - Biogas,4013.0
2015-01-06,CAISO - Biomass,7219.0
2015-01-06,CAISO - Geothermal Steam,25527.0
2015-01-06,CAISO - Hydro,24890.0
2015-01-06,CAISO - Nuclear Power,54259.0
2015-01-06,CAISO - PeakLoad,29104
2015-01-06,CAISO - Power Imports,168612.0
2015-01-06,CAISO - Solar PV,27389.0
2015-01-06,CAISO - Solar Thermal,1893.0
2015-01-06,CAISO - Thermal Power,281061.0
2015-01-06,CAISO - Total Generation,597678.0
2015-01-06,CAISO - Wind,2815.0
2015-01-06,ERCOT - PeakLoad,48051
2015-01-06,IESO - Biofuel,3073.0
2015-01-06,IESO - Hydro,116136.0
2015-01-06,IESO - Natural Gas,69205.0
2015-01-06,IESO - Nuclear Power,283721.0
2015-01-06,IESO - PeakLoad,20593
2015-01-06,IESO - Total Generation,506112.0
2015-01-06,IESO - Wind,33977.0
2015-01-06,ISONE - Coal,46644
2015-01-06,ISONE - Hydro,28442
2015-01-06,ISONE - Natural Gas,126730
2015-01-06,ISONE - Nuclear Power,96873
2015-01-06,ISONE - Other,21020
2015-01-06,ISONE - PeakLoad,19983
2015-01-06,ISONE - Residual Oil,5005
2015-01-06,ISONE - Solar Thermal,158
2015-01-06,ISONE - Total Generation,329507
2015-01-06,ISONE - Wind,4635
2015-01-06,MISO - PeakLoad,95911
2015-01-06,NYISO - PeakLoad,23632
2015-01-06,PJM - PeakLoad,123564
2015-01-06,SPP - Coal,432077
2015-01-06,SPP - Diesel,0
2015-01-06,SPP - Hydro,2019
2015-01-06,SPP - Natural Gas,134630
2015-01-06,SPP - Nuclear Power,61040
2015-01-06,SPP - PeakLoad,32511
2015-01-06,SPP - Total Generation,694654
2015-01-06,SPP - Wind,64887
2015-01-07,AESO - PeakLoad,11040
2015-01-07,BPA - PeakLoad,8011
2015-01-07,CAISO - Biogas,3864.0
2015-01-07,CAISO - Biomass,7488.0
2015-01-07,CAISO - Geothermal Steam,25500.0
2015-01-07,CAISO - Hydro,31339.0
2015-01-07,CAISO - Nuclear Power,54341.0
2015-01-07,CAISO - PeakLoad,29310
2015-01-07,CAISO - Power Imports,182456.0
2015-01-07,CAISO - Solar PV,24512.0
2015-01-07,CAISO - Solar Thermal,2212.0
2015-01-07,CAISO - Thermal Power,268309.0
2015-01-07,CAISO - Total Generation,601163.0
2015-01-07,CAISO - Wind,1142.0
2015-01-07,ERCOT - PeakLoad,51343
2015-01-07,IESO - Biofuel,2267.0
2015-01-07,IESO - Hydro,114411.0
2015-01-07,IESO - Natural Gas,75277.0
2015-01-07,IESO - Nuclear Power,283697.0
2015-01-07,IESO - PeakLoad,21814
2015-01-07,IESO - Total Generation,529338.0
2015-01-07,IESO - Wind,53686.0
2015-01-07,ISONE - Coal,44585
2015-01-07,ISONE - Hydro,26648
2015-01-07,ISONE - Natural Gas,125257
2015-01-07,ISONE - Nuclear Power,96895
2015-01-07,ISONE - Other,20716
2015-01-07,ISONE - PeakLoad,20397
2015-01-07,ISONE - Residual Oil,33068
2015-01-07,ISONE - Solar Thermal,451
2015-01-07,ISONE - Total Generation,354078
2015-01-07,ISONE - Wind,6458
2015-01-07,MISO - PeakLoad,104346
2015-01-07,NYISO - PeakLoad,24648
2015-01-07,PJM - PeakLoad,136115
2015-01-07,SPP - Coal,437486
2015-01-07,SPP - Diesel,47
2015-01-07,SPP - Hydro,3579
2015-01-07,SPP - Natural Gas,167964
2015-01-07,SPP - Nuclear Power,60986
2015-01-07,SPP - PeakLoad,35972
2015-01-07,SPP - Total Generation,786446
2015-01-07,SPP - Wind,116384
2015-01-08,AESO - PeakLoad,11149
2015-01-08,BPA - PeakLoad,7943
2015-01-08,CAISO - Biogas,3947.0
2015-01-08,CAISO - Biomass,7096.0
2015-01-08,CAISO - Geothermal Steam,25532.0
2015-01-08,CAISO - Hydro,33363.0
2015-01-08,CAISO - Nuclear Power,54374.0
2015-01-08,CAISO - PeakLoad,28912
2015-01-08,CAISO - Power Imports,181448.0
2015-01-08,CAISO - Solar PV,18454.0
2015-01-08,CAISO - Solar Thermal,800.0
2015-01-08,CAISO - Thermal Power,270381.0
2015-01-08,CAISO - Total Generation,596230.0
2015-01-08,CAISO - Wind,835.0
2015-01-08,ERCOT - PeakLoad,56764
2015-01-08,IESO - Biofuel,2964.0
2015-01-08,IESO - Hydro,113160.0
2015-01-08,IESO - Natural Gas,74628.0
2015-01-08,IESO - Nuclear Power,272375.0
2015-01-08,IESO - PeakLoad,20999
2015-01-08,IESO - Total Generation,521707.0
2015-01-08,IESO - Wind,58580.0
2015-01-08,ISONE - Coal,32574
2015-01-08,ISONE - Hydro,28122
2015-01-08,ISONE - Natural Gas,139743
2015-01-08,ISONE - Nuclear Power,96952
2015-01-08,ISONE - Other,20553
2015-01-08,ISONE - PeakLoad,20536
2015-01-08,ISONE - Residual Oil,55374
2015-01-08,ISONE - Solar Thermal,1056
2015-01-08,ISONE - Total Generation,381806
2015-01-08,ISONE - Wind,7432
2015-01-08,MISO - PeakLoad,106100
2015-01-08,NYISO - PeakLoad,24327
2015-01-08,PJM - PeakLoad,136449
2015-01-08,SPP - Coal,426904
2015-01-08,SPP - Diesel,15
2015-01-08,SPP - Hydro,2742
2015-01-08,SPP - Natural Gas,171105
2015-01-08,SPP - Nuclear Power,60959
2015-01-08,SPP - PeakLoad,36695
2015-01-08,SPP - Total Generation,786535
2015-01-08,SPP - Wind,124810
2015-01-09,AESO - PeakLoad,11037
2015-01-09,BPA - PeakLoad,8086
2015-01-09,CAISO - Biogas,4122.0
2015-01-09,CAISO - Biomass,7566.0
2015-01-09,CAISO - Geothermal Steam,25581.0
2015-01-09,CAISO - Hydro,30648.0
2015-01-09,CAISO - Nuclear Power,54410.0
2015-01-09,CAISO - PeakLoad,28290
2015-01-09,CAISO - Power Imports,173343.0
2015-01-09,CAISO - Solar PV,21705.0
2015-01-09,CAISO - Solar Thermal,199.0
2015-01-09,CAISO - Thermal Power,272080.0
2015-01-09,CAISO - Total Generation,590012.0
2015-01-09,CAISO - Wind,358.0
2015-01-09,ERCOT - PeakLoad,52317
2015-01-09,IESO - Biofuel,1929.0
2015-01-09,IESO - Hydro,112044.0
