Date,Item,Value
2017-04-22,CAISO - Total Generation,575028.0
2017-04-22,CAISO - Wind,32359.0
2017-04-22,ERCOT - PeakLoad,37599
2017-04-22,IESO - Biofuel,1462.0
2017-04-22,IESO - Hydro,107987.0
2017-04-22,IESO - Natural Gas,5525.0
2017-04-22,IESO - Nuclear Power,229491.0
2017-04-22,IESO - PeakLoad,14075
2017-04-22,IESO - Total Generation,356349.0
2017-04-22,IESO - Wind,11884.0
2017-04-22,ISONE - Coal,1
2017-04-22,ISONE - Hydro,35873
2017-04-22,ISONE - Natural Gas,144621
2017-04-22,ISONE - Nuclear Power,29528
2017-04-22,ISONE - Other,17822
2017-04-22,ISONE - PeakLoad,13125
2017-04-22,ISONE - Residual Oil,56
2017-04-22,ISONE - Solar Thermal,954
2017-04-22,ISONE - Total Generation,232087
2017-04-22,ISONE - Wind,3232
2017-04-22,MISO - Coal,641707.8
2017-04-22,MISO - Hydro,24769.500000000004
2017-04-22,MISO - Natural Gas,334309.80000000005
2017-04-22,MISO - Nuclear,221346.9
2017-04-22,MISO - Other,13109.299999999997
2017-04-22,MISO - PeakLoad,68175
2017-04-22,MISO - Total Generation,1302144.5000000002
2017-04-22,MISO - Wind,67189.04999999999
2017-04-22,NYISO - Coal or Oil,0.0
2017-04-22,NYISO - Dual Fuel,44896.903744999996
2017-04-22,NYISO - Hydro,82437.42024899999
2017-04-22,NYISO - Natural Gas,47135.14479200001
2017-04-22,NYISO - Nuclear Power,103184.67059300012
2017-04-22,NYISO - Other Renewables,6164.558674999998
2017-04-22,NYISO - PeakLoad,16395
2017-04-22,NYISO - Total Generation,290102.8954200001
2017-04-22,NYISO - Wind,6294.641488000004
2017-04-22,PJM - Coal,568934.0
2017-04-22,PJM - Hydro,27862.0
2017-04-22,PJM - Natural Gas,356470.0
2017-04-22,PJM - Nuclear Power,754061.0
2017-04-22,PJM - Other,11890.0
2017-04-22,PJM - PeakLoad,76824
2017-04-22,PJM - Renewables,12837.0
2017-04-22,PJM - Residual Oil,5164.0
2017-04-22,PJM - Solar,2096.0
2017-04-22,PJM - Total Generation,1800654.0
2017-04-22,PJM - Wind,61340.0
2017-04-22,SPP - Coal,201190
2017-04-22,SPP - Diesel,2096
2017-04-22,SPP - Hydro,33921
2017-04-22,SPP - Natural Gas,115452
2017-04-22,SPP - Nuclear Power,48578
2017-04-22,SPP - PeakLoad,25345
2017-04-22,SPP - Total Generation,587576
2017-04-22,SPP - Wind,186338
2017-04-23,AESO - PeakLoad,9129
2017-04-23,BPA - PeakLoad,6467
2017-04-23,CAISO - Biogas,4043.0
2017-04-23,CAISO - Biomass,3675.0
2017-04-23,CAISO - Geothermal Steam,22065.0
2017-04-23,CAISO - Hydro,97663.0
2017-04-23,CAISO - Nuclear Power,26760.0
2017-04-23,CAISO - PeakLoad,26548
2017-04-23,CAISO - Power Imports,142564.0
2017-04-23,CAISO - Solar PV,74755.0
2017-04-23,CAISO - Solar Thermal,2443.0
2017-04-23,CAISO - Thermal Power,73383.0
2017-04-23,CAISO - Total Generation,532912.0
2017-04-23,CAISO - Wind,85561.0
2017-04-23,ERCOT - PeakLoad,35849
2017-04-23,IESO - Biofuel,1241.0
2017-04-23,IESO - Hydro,111035.0
2017-04-23,IESO - Natural Gas,4053.0
2017-04-23,IESO - Nuclear Power,220272.0
2017-04-23,IESO - PeakLoad,14617
2017-04-23,IESO - Total Generation,344759.0
2017-04-23,IESO - Wind,8158.0
2017-04-23,ISONE - Coal,8
2017-04-23,ISONE - Hydro,32883
2017-04-23,ISONE - Natural Gas,129374
2017-04-23,ISONE - Nuclear Power,29491
2017-04-23,ISONE - Other,17868
2017-04-23,ISONE - PeakLoad,12970
2017-04-23,ISONE - Residual Oil,0
2017-04-23,ISONE - Solar Thermal,4691
2017-04-23,ISONE - Total Generation,220645
2017-04-23,ISONE - Wind,6330
2017-04-23,MISO - Coal,575600.4
2017-04-23,MISO - Hydro,22772.7
2017-04-23,MISO - Natural Gas,228412.1
2017-04-23,MISO - Nuclear,227394.0
2017-04-23,MISO - Other,13046.799999999997
2017-04-23,MISO - PeakLoad,67688
2017-04-23,MISO - Total Generation,1241537.0000000002
2017-04-23,MISO - Wind,174424.33
2017-04-23,NYISO - Coal or Oil,0.0
2017-04-23,NYISO - Dual Fuel,31149.208735999993
2017-04-23,NYISO - Hydro,82098.75493699996
2017-04-23,NYISO - Natural Gas,46274.56490100005
2017-04-23,NYISO - Nuclear Power,90951.13619399996
2017-04-23,NYISO - Other Renewables,6414.891007
2017-04-23,NYISO - PeakLoad,16295
2017-04-23,NYISO - Total Generation,262167.67954000004
2017-04-23,NYISO - Wind,5288.562178999997
2017-04-23,PJM - Coal,520275.0
2017-04-23,PJM - Hydro,40402.0
2017-04-23,PJM - Natural Gas,361658.0
2017-04-23,PJM - Nuclear Power,751815.0
2017-04-23,PJM - Other,10827.0
2017-04-23,PJM - PeakLoad,77774
2017-04-23,PJM - Renewables,12820.0
2017-04-23,PJM - Residual Oil,5074.0
2017-04-23,PJM - Solar,2845.0
2017-04-23,PJM - Total Generation,1737024.0
2017-04-23,PJM - Wind,31309.0
2017-04-23,SPP - Coal,209620
2017-04-23,SPP - Diesel,1991
2017-04-23,SPP - Hydro,32504
2017-04-23,SPP - Natural Gas,138481
2017-04-23,SPP - Nuclear Power,48576
2017-04-23,SPP - PeakLoad,25944
2017-04-23,SPP - Total Generation,564250
2017-04-23,SPP - Wind,133078
2017-04-24,AESO - PeakLoad,9391
2017-04-24,BPA - PeakLoad,7007
2017-04-24,CAISO - Biogas,4149.0
2017-04-24,CAISO - Biomass,3125.0
2017-04-24,CAISO - Geothermal Steam,22117.0
2017-04-24,CAISO - Hydro,107974.0
2017-04-24,CAISO - Nuclear Power,27069.0
2017-04-24,CAISO - PeakLoad,27937
2017-04-24,CAISO - Power Imports,173029.0
2017-04-24,CAISO - Solar PV,69798.0
2017-04-24,CAISO - Solar Thermal,0.0
2017-04-24,CAISO - Thermal Power,96162.0
2017-04-24,CAISO - Total Generation,588400.0
2017-04-24,CAISO - Wind,84977.0
2017-04-24,ERCOT - PeakLoad,41704
2017-04-24,IESO - Biofuel,3358.0
2017-04-24,IESO - Hydro,107248.0
2017-04-24,IESO - Natural Gas,8166.0
2017-04-24,IESO - Nuclear Power,232881.0
2017-04-24,IESO - PeakLoad,15532
2017-04-24,IESO - Total Generation,366741.0
2017-04-24,IESO - Wind,15088.0
2017-04-24,ISONE - Coal,0
2017-04-24,ISONE - Hydro,32831
2017-04-24,ISONE - Natural Gas,161294
2017-04-24,ISONE - Nuclear Power,29537
2017-04-24,ISONE - Other,17663
2017-04-24,ISONE - PeakLoad,13883
2017-04-24,ISONE - Residual Oil,16
2017-04-24,ISONE - Solar Thermal,3403
2017-04-24,ISONE - Total Generation,249361
2017-04-24,ISONE - Wind,4617
2017-04-24,MISO - Coal,614547.7999999999
2017-04-24,MISO - Hydro,23077.700000000004
2017-04-24,MISO - Natural Gas,325543.0000000001
2017-04-24,MISO - Nuclear,223679.1
2017-04-24,MISO - Other,11702.1
2017-04-24,MISO - PeakLoad,74416
2017-04-24,MISO - Total Generation,1430107.2000000004
2017-04-24,MISO - Wind,231762.31
2017-04-24,NYISO - Coal or Oil,0.0
2017-04-24,NYISO - Dual Fuel,47903.22505300002
2017-04-24,NYISO - Hydro,83547.41580900001
2017-04-24,NYISO - Natural Gas,57899.268402000016
2017-04-24,NYISO - Nuclear Power,88275.98022800004
2017-04-24,NYISO - Other Renewables,6331.141341999996
2017-04-24,NYISO - PeakLoad,17498
2017-04-24,NYISO - Total Generation,288044.9777399999
2017-04-24,NYISO - Wind,4098.3169400000015
2017-04-24,PJM - Coal,592281.0
2017-04-24,PJM - Hydro,45920.0
2017-04-24,PJM - Natural Gas,440495.0
2017-04-24,PJM - Nuclear Power,735582.0
2017-04-24,PJM - Other,11428.0
2017-04-24,PJM - PeakLoad,85621
2017-04-24,PJM - Renewables,12638.0
2017-04-24,PJM - Residual Oil,5556.0
2017-04-24,PJM - Solar,1226.0
2017-04-24,PJM - Total Generation,1906842.0
2017-04-24,PJM - Wind,61716.0
2017-04-24,SPP - Coal,164176
2017-04-24,SPP - Diesel,1989
2017-04-24,SPP - Hydro,35529
2017-04-24,SPP - Natural Gas,122843
2017-04-24,SPP - Nuclear Power,43370
2017-04-24,SPP - PeakLoad,28222
2017-04-24,SPP - Total Generation,630529
2017-04-24,SPP - Wind,262621
2017-04-25,AESO - PeakLoad,9397
2017-04-25,BPA - PeakLoad,6997
2017-04-25,CAISO - Biogas,4084.0
2017-04-25,CAISO - Biomass,3333.0
2017-04-25,CAISO - Geothermal Steam,20933.0
2017-04-25,CAISO - Hydro,106758.0
2017-04-25,CAISO - Nuclear Power,27228.0
2017-04-25,CAISO - PeakLoad,27906
2017-04-25,CAISO - Power Imports,155471.0
2017-04-25,CAISO - Solar PV,72619.0
2017-04-25,CAISO - Solar Thermal,1581.0
2017-04-25,CAISO - Thermal Power,103063.0
2017-04-25,CAISO - Total Generation,578911.0
2017-04-25,CAISO - Wind,83841.0
2017-04-25,ERCOT - PeakLoad,48816
2017-04-25,IESO - Biofuel,582.0
2017-04-25,IESO - Hydro,110966.0
2017-04-25,IESO - Natural Gas,5275.0
2017-04-25,IESO - Nuclear Power,222687.0
2017-04-25,IESO - PeakLoad,16009
2017-04-25,IESO - Total Generation,371381.0
2017-04-25,IESO - Wind,31871.0
2017-04-25,ISONE - Coal,1
2017-04-25,ISONE - Hydro,33894
2017-04-25,ISONE - Natural Gas,165335
2017-04-25,ISONE - Nuclear Power,27752
2017-04-25,ISONE - Other,18003
2017-04-25,ISONE - PeakLoad,14571
2017-04-25,ISONE - Residual Oil,164
2017-04-25,ISONE - Solar Thermal,836
2017-04-25,ISONE - Total Generation,256556
2017-04-25,ISONE - Wind,10571
2017-04-25,MISO - Coal,676760.7999999999
2017-04-25,MISO - Hydro,25946.499999999993
2017-04-25,MISO - Natural Gas,374986.3
2017-04-25,MISO - Nuclear,221700.39999999997
2017-04-25,MISO - Other,11073.7
2017-04-25,MISO - PeakLoad,77413
2017-04-25,MISO - Total Generation,1484007.4000000001
2017-04-25,MISO - Wind,173539.7
2017-04-25,NYISO - Coal or Oil,75.49969800000002
2017-04-25,NYISO - Dual Fuel,53215.78713600002
2017-04-25,NYISO - Hydro,84203.91318299997
2017-04-25,NYISO - Natural Gas,59524.761900000056
2017-04-25,NYISO - Nuclear Power,92292.46416199986
2017-04-25,NYISO - Other Renewables,6222.725109000008
2017-04-25,NYISO - PeakLoad,17918
2017-04-25,NYISO - Total Generation,313684.8687700003
2017-04-25,NYISO - Wind,18161.010688999984
2017-04-25,PJM - Coal,582067.0
2017-04-25,PJM - Hydro,55312.0
2017-04-25,PJM - Natural Gas,445993.0
2017-04-25,PJM - Nuclear Power,735032.0
2017-04-25,PJM - Other,10583.0
2017-04-25,PJM - PeakLoad,87118
2017-04-25,PJM - Renewables,13599.0
2017-04-25,PJM - Residual Oil,4920.0
2017-04-25,PJM - Solar,2173.0
2017-04-25,PJM - Total Generation,1924626.0
2017-04-25,PJM - Wind,74948.0
2017-04-25,SPP - Coal,182907
2017-04-25,SPP - Diesel,1982
2017-04-25,SPP - Hydro,35948
2017-04-25,SPP - Natural Gas,152177
2017-04-25,SPP - Nuclear Power,46548
2017-04-25,SPP - PeakLoad,29670
2017-04-25,SPP - Total Generation,633175
2017-04-25,SPP - Wind,213612
2017-04-26,AESO - PeakLoad,9450
2017-04-26,BPA - PeakLoad,7037
2017-04-26,CAISO - Biogas,3651.0
2017-04-26,CAISO - Biomass,3567.0
2017-04-26,CAISO - Geothermal Steam,20872.0
2017-04-26,CAISO - Hydro,111020.0
2017-04-26,CAISO - Nuclear Power,27301.0
2017-04-26,CAISO - PeakLoad,28119
2017-04-26,CAISO - Power Imports,174789.0
2017-04-26,CAISO - Solar PV,71713.0
2017-04-26,CAISO - Solar Thermal,1873.0
2017-04-26,CAISO - Thermal Power,102013.0
2017-04-26,CAISO - Total Generation,592865.0
2017-04-26,CAISO - Wind,76066.0
2017-04-26,ERCOT - PeakLoad,46490
2017-04-26,IESO - Biofuel,554.0
2017-04-26,IESO - Hydro,112416.0
2017-04-26,IESO - Natural Gas,7453.0
2017-04-26,IESO - Nuclear Power,215787.0
2017-04-26,IESO - PeakLoad,15894
2017-04-26,IESO - Total Generation,368213.0
2017-04-26,IESO - Wind,32003.0
2017-04-26,ISONE - Coal,6
2017-04-26,ISONE - Hydro,36841
2017-04-26,ISONE - Natural Gas,159333
2017-04-26,ISONE - Nuclear Power,25837
2017-04-26,ISONE - Other,17478
2017-04-26,ISONE - PeakLoad,14218
2017-04-26,ISONE - Residual Oil,380
2017-04-26,ISONE - Solar Thermal,935
2017-04-26,ISONE - Total Generation,250165
2017-04-26,ISONE - Wind,9355
2017-04-26,MISO - Coal,663970.5
2017-04-26,MISO - Hydro,26003.0
2017-04-26,MISO - Natural Gas,381967.8
2017-04-26,MISO - Nuclear,213042.80000000002
2017-04-26,MISO - Other,11824.5
2017-04-26,MISO - PeakLoad,78926
2017-04-26,MISO - Total Generation,1523976.9
2017-04-26,MISO - Wind,227168.3
2017-04-26,NYISO - Coal or Oil,236.3323879999999
2017-04-26,NYISO - Dual Fuel,48328.640018000035
2017-04-26,NYISO - Hydro,84977.16009000002
2017-04-26,NYISO - Natural Gas,64622.57484200002
2017-04-26,NYISO - Nuclear Power,90088.22297900003
2017-04-26,NYISO - Other Renewables,5955.642843999997
2017-04-26,NYISO - PeakLoad,17794
2017-04-26,NYISO - Total Generation,299874.0878900001
2017-04-26,NYISO - Wind,5676.310628
2017-04-26,PJM - Coal,595167.0
2017-04-26,PJM - Hydro,58955.0
2017-04-26,PJM - Natural Gas,502432.0
2017-04-26,PJM - Nuclear Power,734080.0
2017-04-26,PJM - Other,14438.0
2017-04-26,PJM - PeakLoad,89622
2017-04-26,PJM - Renewables,14556.0
2017-04-26,PJM - Residual Oil,5129.0
2017-04-26,PJM - Solar,2259.0
2017-04-26,PJM - Total Generation,1986694.0
2017-04-26,PJM - Wind,59677.0
2017-04-26,SPP - Coal,183597
2017-04-26,SPP - Diesel,2015
2017-04-26,SPP - Hydro,35735
2017-04-26,SPP - Natural Gas,147950
2017-04-26,SPP - Nuclear Power,48557
2017-04-26,SPP - PeakLoad,28201
2017-04-26,SPP - Total Generation,635182
2017-04-26,SPP - Wind,217327
2017-04-27,AESO - PeakLoad,9402
2017-04-27,BPA - PeakLoad,7347
2017-04-27,CAISO - Biogas,3546.0
2017-04-27,CAISO - Biomass,3564.0
2017-04-27,CAISO - Geothermal Steam,22276.0
2017-04-27,CAISO - Hydro,114631.0
2017-04-27,CAISO - Nuclear Power,27300.0
2017-04-27,CAISO - PeakLoad,28502
2017-04-27,CAISO - Power Imports,160678.0
2017-04-27,CAISO - Solar PV,77909.0
2017-04-27,CAISO - Solar Thermal,2203.0
2017-04-27,CAISO - Thermal Power,104039.0
2017-04-27,CAISO - Total Generation,588062.0
2017-04-27,CAISO - Wind,71916.0
2017-04-27,ERCOT - PeakLoad,43089
2017-04-27,IESO - Biofuel,557.0
2017-04-27,IESO - Hydro,110381.0
2017-04-27,IESO - Natural Gas,8061.0
2017-04-27,IESO - Nuclear Power,215678.0
2017-04-27,IESO - PeakLoad,15709
2017-04-27,IESO - Total Generation,371954.0
2017-04-27,IESO - Wind,37277.0
2017-04-27,ISONE - Coal,3
2017-04-27,ISONE - Hydro,35095
2017-04-27,ISONE - Natural Gas,161734
2017-04-27,ISONE - Nuclear Power,25572
2017-04-27,ISONE - Other,17600
2017-04-27,ISONE - PeakLoad,14071
2017-04-27,ISONE - Residual Oil,143
2017-04-27,ISONE - Solar Thermal,1866
2017-04-27,ISONE - Total Generation,245491
2017-04-27,ISONE - Wind,3478
2017-04-27,MISO - Coal,692762.3
2017-04-27,MISO - Hydro,26278.8
2017-04-27,MISO - Natural Gas,394078.1999999999
2017-04-27,MISO - Nuclear,205832.5
2017-04-27,MISO - Other,12138.4
2017-04-27,MISO - PeakLoad,74496
2017-04-27,MISO - Total Generation,1502308.3
2017-04-27,MISO - Wind,171218.10000000003
2017-04-27,NYISO - Coal or Oil,159.33269599999997
2017-04-27,NYISO - Dual Fuel,51589.960306000015
2017-04-27,NYISO - Hydro,85413.49167800005
2017-04-27,NYISO - Natural Gas,65605.57091
2017-04-27,NYISO - Nuclear Power,91387.21778300003
2017-04-27,NYISO - Other Renewables,6357.391237000002
2017-04-27,NYISO - PeakLoad,18108
2017-04-27,NYISO - Total Generation,313885.3607500005
2017-04-27,NYISO - Wind,13383.696465000006
2017-04-27,PJM - Coal,585976.0
2017-04-27,PJM - Hydro,59650.0
2017-04-27,PJM - Natural Gas,470855.0
2017-04-27,PJM - Nuclear Power,733386.0
2017-04-27,PJM - Other,9764.0
2017-04-27,PJM - PeakLoad,90200
2017-04-27,PJM - Renewables,14157.0
2017-04-27,PJM - Residual Oil,4874.0
2017-04-27,PJM - Solar,3860.0
2017-04-27,PJM - Total Generation,1962607.0
2017-04-27,PJM - Wind,80086.0
2017-04-27,SPP - Coal,225353
2017-04-27,SPP - Diesel,1993
2017-04-27,SPP - Hydro,35855
2017-04-27,SPP - Natural Gas,152556
2017-04-27,SPP - Nuclear Power,48625
2017-04-27,SPP - PeakLoad,27493
2017-04-27,SPP - Total Generation,619357
2017-04-27,SPP - Wind,154975
2017-04-28,AESO - PeakLoad,9380
2017-04-28,BPA - PeakLoad,7407
2017-04-28,CAISO - Biogas,3654.0
2017-04-28,CAISO - Biomass,3307.0
2017-04-28,CAISO - Geothermal Steam,21874.0
2017-04-28,CAISO - Hydro,115308.0
2017-04-28,CAISO - Nuclear Power,27304.0
2017-04-28,CAISO - PeakLoad,27954
2017-04-28,CAISO - Power Imports,155970.0
2017-04-28,CAISO - Solar PV,85408.0
2017-04-28,CAISO - Solar Thermal,3776.0
2017-04-28,CAISO - Thermal Power,112219.0
2017-04-28,CAISO - Total Generation,591106.0
2017-04-28,CAISO - Wind,62286.0
2017-04-28,ERCOT - PeakLoad,53437
2017-04-28,IESO - Biofuel,541.0
2017-04-28,IESO - Hydro,112066.0
2017-04-28,IESO - Natural Gas,5578.0
2017-04-28,IESO - Nuclear Power,215735.0
2017-04-28,IESO - PeakLoad,15008
2017-04-28,IESO - Total Generation,358964.0
2017-04-28,IESO - Wind,25044.0
2017-04-28,ISONE - Coal,3
2017-04-28,ISONE - Hydro,35546
2017-04-28,ISONE - Natural Gas,155653
2017-04-28,ISONE - Nuclear Power,27107
2017-04-28,ISONE - Other,17738
2017-04-28,ISONE - PeakLoad,14264
2017-04-28,ISONE - Residual Oil,168
2017-04-28,ISONE - Solar Thermal,3288
2017-04-28,ISONE - Total Generation,244066
2017-04-28,ISONE - Wind,4563
2017-04-28,MISO - Coal,702427.0
2017-04-28,MISO - Hydro,28493.600000000002
2017-04-28,MISO - Natural Gas,438668.9
2017-04-28,MISO - Nuclear,204129.8
2017-04-28,MISO - Other,16928.9
2017-04-28,MISO - PeakLoad,75973
2017-04-28,MISO - Total Generation,1514216.2000000002
2017-04-28,MISO - Wind,123568.0
2017-04-28,NYISO - Coal or Oil,266.248935
2017-04-28,NYISO - Dual Fuel,58841.93129799999
2017-04-28,NYISO - Hydro,89290.22617100002
2017-04-28,NYISO - Natural Gas,73865.704536
2017-04-28,NYISO - Nuclear Power,94612.62154799982
2017-04-28,NYISO - Other Renewables,6755.056313
2017-04-28,NYISO - PeakLoad,18679
2017-04-28,NYISO - Total Generation,337554.91393000085
2017-04-28,NYISO - Wind,13935.277592000008
2017-04-28,PJM - Coal,626403.0
2017-04-28,PJM - Hydro,57800.0
2017-04-28,PJM - Natural Gas,525796.0
2017-04-28,PJM - Nuclear Power,733968.0
2017-04-28,PJM - Other,14205.0
2017-04-28,PJM - PeakLoad,93067
2017-04-28,PJM - Renewables,14134.0
2017-04-28,PJM - Residual Oil,4879.0
2017-04-28,PJM - Solar,3922.0
2017-04-28,PJM - Total Generation,2010631.0
2017-04-28,PJM - Wind,29524.0
2017-04-28,SPP - Coal,226818
2017-04-28,SPP - Diesel,1929
2017-04-28,SPP - Hydro,36488
2017-04-28,SPP - Natural Gas,176703
2017-04-28,SPP - Nuclear Power,48165
2017-04-28,SPP - PeakLoad,28186
2017-04-28,SPP - Total Generation,620526
2017-04-28,SPP - Wind,130423
2017-04-29,AESO - PeakLoad,8773
2017-04-29,BPA - PeakLoad,6579
2017-04-29,CAISO - Biogas,3360.0
2017-04-29,CAISO - Biomass,3850.0
2017-04-29,CAISO - Geothermal Steam,21070.0
2017-04-29,CAISO - Hydro,116626.0
2017-04-29,CAISO - Nuclear Power,27296.0
2017-04-29,CAISO - PeakLoad,27428
2017-04-29,CAISO - Power Imports,165452.0
2017-04-29,CAISO - Solar PV,94799.0
2017-04-29,CAISO - Solar Thermal,3588.0
2017-04-29,CAISO - Thermal Power,99202.0
2017-04-29,CAISO - Total Generation,561738.0
2017-04-29,CAISO - Wind,26495.0
2017-04-29,ERCOT - PeakLoad,48689
2017-04-29,IESO - Biofuel,163.0
2017-04-29,IESO - Hydro,106609.0
2017-04-29,IESO - Natural Gas,5297.0
2017-04-29,IESO - Nuclear Power,223023.0
2017-04-29,IESO - PeakLoad,13855
2017-04-29,IESO - Total Generation,349405.0
2017-04-29,IESO - Wind,14313.0
2017-04-29,ISONE - Coal,0
2017-04-29,ISONE - Hydro,34618
2017-04-29,ISONE - Natural Gas,130846
2017-04-29,ISONE - Nuclear Power,29466
2017-04-29,ISONE - Other,17242
2017-04-29,ISONE - PeakLoad,13551
2017-04-29,ISONE - Residual Oil,80
2017-04-29,ISONE - Solar Thermal,2897
2017-04-29,ISONE - Total Generation,229593
2017-04-29,ISONE - Wind,14444
2017-04-29,MISO - Coal,640927.9
2017-04-29,MISO - Hydro,30327.7
2017-04-29,MISO - Natural Gas,348465.89999999997
2017-04-29,MISO - Nuclear,203249.6
2017-04-29,MISO - Other,19393.500000000004
2017-04-29,MISO - PeakLoad,71382
2017-04-29,MISO - Total Generation,1447110.2999999998
2017-04-29,MISO - Wind,204756.51999999996
2017-04-29,NYISO - Coal or Oil,1097.1622779999975
2017-04-29,NYISO - Dual Fuel,54391.19910100003
2017-04-29,NYISO - Hydro,82078.50501799997
2017-04-29,NYISO - Natural Gas,63795.66148300006
2017-04-29,NYISO - Nuclear Power,91410.55102300004
2017-04-29,NYISO - Other Renewables,6517.473930000003
2017-04-29,NYISO - PeakLoad,17752
2017-04-29,NYISO - Total Generation,314249.09620000166
2017-04-29,NYISO - Wind,14969.856787000002
2017-04-29,PJM - Coal,583107.0
2017-04-29,PJM - Hydro,53660.0
2017-04-29,PJM - Natural Gas,502907.0
2017-04-29,PJM - Nuclear Power,733691.0
2017-04-29,PJM - Other,9701.0
2017-04-29,PJM - PeakLoad,92577
2017-04-29,PJM - Renewables,12799.0
2017-04-29,PJM - Residual Oil,4976.0
2017-04-29,PJM - Solar,3348.0
2017-04-29,PJM - Total Generation,1997632.0
2017-04-29,PJM - Wind,93443.0
2017-04-29,SPP - Coal,155790
2017-04-29,SPP - Diesel,1920
2017-04-29,SPP - Hydro,33668
2017-04-29,SPP - Natural Gas,124238
2017-04-29,SPP - Nuclear Power,48692
2017-04-29,SPP - PeakLoad,27000
2017-04-29,SPP - Total Generation,607677
2017-04-29,SPP - Wind,243370
2017-04-30,AESO - PeakLoad,8875
2017-04-30,BPA - PeakLoad,6179
2017-04-30,CAISO - Biogas,3439.0
2017-04-30,CAISO - Biomass,4779.0
2017-04-30,CAISO - Geothermal Steam,22133.0
2017-04-30,CAISO - Hydro,102548.0
2017-04-30,CAISO - Nuclear Power,27288.0
2017-04-30,CAISO - PeakLoad,27847
2017-04-30,CAISO - Power Imports,167664.0
2017-04-30,CAISO - Solar PV,90114.0
2017-04-30,CAISO - Solar Thermal,3794.0
2017-04-30,CAISO - Thermal Power,90376.0
2017-04-30,CAISO - Total Generation,544147.0
2017-04-30,CAISO - Wind,32012.0
2017-04-30,ERCOT - PeakLoad,36010
2017-04-30,IESO - Biofuel,6.0
2017-04-30,IESO - Hydro,107807.0
2017-04-30,IESO - Natural Gas,3987.0
2017-04-30,IESO - Nuclear Power,214547.0
2017-04-30,IESO - PeakLoad,14891
2017-04-30,IESO - Total Generation,358705.0
2017-04-30,IESO - Wind,32358.0
2017-04-30,ISONE - Coal,0
2017-04-30,ISONE - Hydro,34144
2017-04-30,ISONE - Natural Gas,117339
2017-04-30,ISONE - Nuclear Power,29600
2017-04-30,ISONE - Other,16587
2017-04-30,ISONE - PeakLoad,12996
2017-04-30,ISONE - Residual Oil,445
2017-04-30,ISONE - Solar Thermal,2789
2017-04-30,ISONE - Total Generation,207242
2017-04-30,ISONE - Wind,6338
2017-04-30,MISO - Coal,589645.2000000001
2017-04-30,MISO - Hydro,24586.600000000006
2017-04-30,MISO - Natural Gas,282707.3
2017-04-30,MISO - Nuclear,191980.10000000003
2017-04-30,MISO - Other,24074.999999999996
2017-04-30,MISO - PeakLoad,69521
2017-04-30,MISO - Total Generation,1358317.8
2017-04-30,MISO - Wind,245544.60000000003
2017-04-30,NYISO - Coal or Oil,108.74956500000003
2017-04-30,NYISO - Dual Fuel,43671.32531399999
2017-04-30,NYISO - Hydro,79972.26344299995
2017-04-30,NYISO - Natural Gas,57902.26839000003
2017-04-30,NYISO - Nuclear Power,90559.88775900018
2017-04-30,NYISO - Other Renewables,6366.557866999991
2017-04-30,NYISO - PeakLoad,16493
2017-04-30,NYISO - Total Generation,288593.37246999954
2017-04-30,NYISO - Wind,10022.709908999997
2017-04-30,PJM - Coal,568228.0
2017-04-30,PJM - Hydro,40754.0
2017-04-30,PJM - Natural Gas,473056.0
2017-04-30,PJM - Nuclear Power,732788.0
2017-04-30,PJM - Other,11694.0
2017-04-30,PJM - PeakLoad,89681
2017-04-30,PJM - Renewables,11941.0
2017-04-30,PJM - Residual Oil,5092.0
2017-04-30,PJM - Solar,3336.0
2017-04-30,PJM - Total Generation,1912376.0
2017-04-30,PJM - Wind,65489.0
2017-04-30,SPP - Coal,165881
2017-04-30,SPP - Diesel,1920
2017-04-30,SPP - Hydro,33326
2017-04-30,SPP - Natural Gas,108257
2017-04-30,SPP - Nuclear Power,48745
2017-04-30,SPP - PeakLoad,26049
2017-04-30,SPP - Total Generation,585444
2017-04-30,SPP - Wind,227315
2017-05-01,AESO - PeakLoad,9321
2017-05-01,BPA - PeakLoad,7031
2017-05-01,CAISO - Biogas,3750.0
2017-05-01,CAISO - Biomass,5709.0
2017-05-01,CAISO - Geothermal Steam,21374.0
2017-05-01,CAISO - Hydro,118517.0
2017-05-01,CAISO - Nuclear Power,27282.0
2017-05-01,CAISO - PeakLoad,31348
2017-05-01,CAISO - Power Imports,174753.0
2017-05-01,CAISO - Solar PV,93509.0
2017-05-01,CAISO - Solar Thermal,4977.0
2017-05-01,CAISO - Thermal Power,129399.0
2017-05-01,CAISO - Total Generation,624895.0
2017-05-01,CAISO - Wind,45625.0
2017-05-01,ERCOT - PeakLoad,45208
2017-05-01,IESO - Biofuel,541.0
2017-05-01,IESO - Hydro,111009.0
2017-05-01,IESO - Natural Gas,6698.0
2017-05-01,IESO - Nuclear Power,224481.0
2017-05-01,IESO - PeakLoad,16046
2017-05-01,IESO - Total Generation,376882.0
2017-05-01,IESO - Wind,34153.0
2017-05-01,ISONE - Coal,33
2017-05-01,ISONE - Hydro,34622
2017-05-01,ISONE - Natural Gas,158671
2017-05-01,ISONE - Nuclear Power,34376
2017-05-01,ISONE - Other,15670
2017-05-01,ISONE - PeakLoad,14215
2017-05-01,ISONE - Residual Oil,524
2017-05-01,ISONE - Solar Thermal,1432
2017-05-01,ISONE - Total Generation,252483
2017-05-01,ISONE - Wind,7155
