Date,Item,Value,state_name
03/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
03/31/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/01/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/02/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/03/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/04/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/05/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/06/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/07/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/08/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/09/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/10/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/11/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/12/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/13/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/14/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/15/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/16/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/17/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/18/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/19/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/20/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/21/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/22/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/23/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/24/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/25/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/26/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/27/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/28/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/29/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
04/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/01/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/02/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/03/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/04/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/05/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/06/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/07/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/08/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/09/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/10/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/11/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/12/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/13/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/14/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/15/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/16/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/17/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/18/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/19/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/20/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/21/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/22/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/23/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/24/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/25/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/26/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/27/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/28/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/29/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
05/31/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/01/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/02/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/03/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/04/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/05/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/06/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/07/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/08/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/09/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/10/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/11/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/12/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/13/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/14/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/15/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/16/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/17/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/18/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/19/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/20/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/21/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/22/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/23/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/24/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/25/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/26/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/27/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/28/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/29/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
06/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/01/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/02/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/03/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/04/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/05/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/06/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/07/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/08/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/09/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/10/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/11/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/12/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/13/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/14/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/15/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/16/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/17/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/18/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/19/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/20/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/21/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/22/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/23/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/24/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/25/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/26/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/27/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/28/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/29/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
07/31/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/01/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/02/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/03/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/04/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/05/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/06/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/07/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/08/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/09/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/10/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/11/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/12/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/13/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/14/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/15/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/16/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/17/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/18/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/19/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/20/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/21/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/22/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/23/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/24/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/25/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/26/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/27/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/28/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/29/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
08/31/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/01/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/02/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/03/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/04/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/05/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/06/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/07/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/08/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/09/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/10/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/11/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/12/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/13/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/14/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/15/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/16/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/17/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/18/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/19/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/20/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/21/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/22/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/23/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/24/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/25/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/26/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/27/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/28/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/29/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
09/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/01/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/02/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/03/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/04/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/05/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/06/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/07/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/08/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/09/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/10/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/11/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/12/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/13/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/14/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/15/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/16/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/17/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/18/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/19/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/20/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/21/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/22/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/23/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/24/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/25/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/26/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/27/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/28/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/29/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
10/31/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/01/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/02/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/03/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/04/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/05/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/06/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/07/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/08/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/09/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/10/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/11/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/12/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/13/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/14/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/15/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/16/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/17/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/18/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/19/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/20/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/21/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/22/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/23/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/24/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/25/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/26/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/27/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/28/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/29/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
11/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/01/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/02/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/03/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/04/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/05/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/06/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/07/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/08/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/09/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/10/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/11/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/12/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/13/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/14/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/15/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/16/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/17/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/18/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/19/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/20/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/21/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/22/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/23/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/24/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/25/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/26/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/27/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/28/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/29/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/30/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
12/31/2015,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/01/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/02/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/03/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/04/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/05/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/06/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/07/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/08/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/09/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/10/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/11/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/12/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/13/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/14/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/15/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/16/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/17/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/18/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/19/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/20/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/21/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/22/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
01/23/2016,Calcasieu Pass LNG Feed Gas,0.0,Louisiana
