Date,item,value,region
04/23/2015,CONUS - Balance,14071.951019999993,Conus
04/24/2015,CONUS - Balance,13980.811889999997,Conus
04/25/2015,CONUS - Balance,15150.930560000008,Conus
04/26/2015,CONUS - Balance,15907.153030000001,Conus
04/27/2015,CONUS - Balance,15206.453599999993,Conus
04/28/2015,CONUS - Balance,16925.523360000007,Conus
04/29/2015,CONUS - Balance,19079.591429999986,Conus
04/30/2015,CONUS - Balance,18033.7232,Conus
05/01/2015,CONUS - Balance,18407.291675999993,Conus
05/02/2015,CONUS - Balance,24616.747950000004,Conus
05/03/2015,CONUS - Balance,26010.095119999998,Conus
05/04/2015,CONUS - Balance,23426.872600000002,Conus
05/05/2015,CONUS - Balance,22737.43838,Conus
05/06/2015,CONUS - Balance,22643.663645999986,Conus
05/07/2015,CONUS - Balance,22366.117920000004,Conus
05/08/2015,CONUS - Balance,21397.550600000002,Conus
05/09/2015,CONUS - Balance,21854.970870000005,Conus
05/10/2015,CONUS - Balance,21491.787749999996,Conus
05/11/2015,CONUS - Balance,20313.026024000013,Conus
05/12/2015,CONUS - Balance,20052.311294000006,Conus
05/13/2015,CONUS - Balance,17900.57996999999,Conus
05/14/2015,CONUS - Balance,18541.601850000006,Conus
05/15/2015,CONUS - Balance,20467.707519999996,Conus
05/16/2015,CONUS - Balance,25641.71639499999,Conus
05/17/2015,CONUS - Balance,26984.979170000006,Conus
05/18/2015,CONUS - Balance,23151.989239999995,Conus
05/19/2015,CONUS - Balance,20032.91152000001,Conus
05/20/2015,CONUS - Balance,18565.40649599999,Conus
05/21/2015,CONUS - Balance,21265.951165,Conus
05/22/2015,CONUS - Balance,22614.11454000001,Conus
05/23/2015,CONUS - Balance,26188.760720000006,Conus
05/24/2015,CONUS - Balance,27950.4026,Conus
05/25/2015,CONUS - Balance,25641.100265999994,Conus
05/26/2015,CONUS - Balance,25769.169543999997,Conus
05/27/2015,CONUS - Balance,26032.742416999994,Conus
05/28/2015,CONUS - Balance,25781.17699,Conus
05/29/2015,CONUS - Balance,26229.570967000007,Conus
05/30/2015,CONUS - Balance,27443.000640000006,Conus
05/31/2015,CONUS - Balance,25880.724517999995,Conus
06/01/2015,CONUS - Balance,22884.608699999997,Conus
06/02/2015,CONUS - Balance,22208.420879999998,Conus
06/03/2015,CONUS - Balance,23432.009363000005,Conus
06/04/2015,CONUS - Balance,24328.119649999993,Conus
06/05/2015,CONUS - Balance,24281.43742999999,Conus
06/06/2015,CONUS - Balance,22910.463612999993,Conus
06/07/2015,CONUS - Balance,23065.409794,Conus
06/08/2015,CONUS - Balance,19925.00428000001,Conus
06/09/2015,CONUS - Balance,19284.299159999995,Conus
06/10/2015,CONUS - Balance,20696.200350000006,Conus
06/11/2015,CONUS - Balance,18983.977125000012,Conus
06/12/2015,CONUS - Balance,18167.49070999999,Conus
06/13/2015,CONUS - Balance,20843.489590000005,Conus
06/14/2015,CONUS - Balance,21203.652474999995,Conus
06/15/2015,CONUS - Balance,17566.272259999998,Conus
06/16/2015,CONUS - Balance,18162.981439999996,Conus
06/17/2015,CONUS - Balance,18108.68862,Conus
06/18/2015,CONUS - Balance,17184.789810000002,Conus
06/19/2015,CONUS - Balance,16635.56538999999,Conus
06/20/2015,CONUS - Balance,22703.32567,Conus
06/21/2015,CONUS - Balance,22494.980760000006,Conus
06/22/2015,CONUS - Balance,19269.869940000004,Conus
06/23/2015,CONUS - Balance,17615.298219999997,Conus
06/24/2015,CONUS - Balance,18550.6527,Conus
06/25/2015,CONUS - Balance,18578.369285999994,Conus
06/26/2015,CONUS - Balance,18770.978970000004,Conus
06/27/2015,CONUS - Balance,23447.581850000002,Conus
06/28/2015,CONUS - Balance,23958.294835,Conus
06/29/2015,CONUS - Balance,20233.64482,Conus
06/30/2015,CONUS - Balance,19221.915500000003,Conus
07/01/2015,CONUS - Balance,20317.959549999992,Conus
07/02/2015,CONUS - Balance,20296.501300000004,Conus
07/03/2015,CONUS - Balance,20708.17626,Conus
07/04/2015,CONUS - Balance,22994.417199999996,Conus
07/05/2015,CONUS - Balance,23068.806259999998,Conus
07/06/2015,CONUS - Balance,20209.602409999992,Conus
07/07/2015,CONUS - Balance,18952.91336,Conus
07/08/2015,CONUS - Balance,18857.03071,Conus
07/09/2015,CONUS - Balance,19753.07235999999,Conus
07/10/2015,CONUS - Balance,20157.188509999993,Conus
07/11/2015,CONUS - Balance,20610.79907,Conus
07/12/2015,CONUS - Balance,19976.482219999998,Conus
07/13/2015,CONUS - Balance,15580.510970000003,Conus
07/14/2015,CONUS - Balance,15987.570720000003,Conus
07/15/2015,CONUS - Balance,16914.134080000003,Conus
07/16/2015,CONUS - Balance,16615.747230000008,Conus
07/17/2015,CONUS - Balance,16004.24467,Conus
07/18/2015,CONUS - Balance,19177.69092,Conus
